,Date,Open_P,High_P,Low_P,Close_P,Adj_Close,Volume,pct
2347,2010-11-24,1479.9,1493.01,1476.82,1488.54,1488.54,145724800.0,-0.005312431088747682
2348,2010-11-23,1506.84,1508.34,1487.53,1487.53,1487.53,181164400.0,-0.0006785172047778509
2349,2010-11-22,1506.72,1510.13,1502.82,1503.2,1503.2,72340800.0,0.01053424132622549
2350,2010-11-19,1500.81,1506.2,1499.78,1506.05,1506.05,100589200.0,0.0018959552953699
2351,2010-11-18,1500.31,1500.34,1487.21,1496.65,1496.65,128783000.0,-0.006241492646326341
2352,2010-11-16,1503.11,1504.42,1491.76,1503.54,1503.54,123231400.0,0.004603614739584927
2353,2010-11-15,1499.61,1503.56,1497.04,1501.56,1501.56,92032000.0,-0.0013168921345624307
2354,2010-11-12,1512.4,1512.53,1488.06,1499.81,1499.81,189206600.0,-0.0011654545938890593
2355,2010-11-11,1526.62,1527.42,1513.7,1513.7,1513.7,152240000.0,0.009261173081923868
2356,2010-11-10,1526.98,1531.99,1523.92,1528.01,1528.01,155032400.0,0.009453656603025662
2357,2010-11-09,1521.71,1526.67,1520.03,1526.53,1526.53,154802700.0,-0.0009685800485599305
2358,2010-11-08,1517.01,1522.77,1517.01,1519.84,1519.84,150941800.0,-0.004382488388698591
2359,2010-11-04,1512.06,1513.41,1508.58,1511.74,1511.74,118162300.0,-0.005329508369302016
2360,2010-11-03,1507.39,1509.65,1506.6,1507.6,1507.6,73248400.0,-0.0027385661555558993
2361,2010-11-02,1509.51,1509.79,1504.72,1506.57,1506.57,125250500.0,-0.0006832050941893986
2362,2010-11-01,1510.69,1511.24,1506.31,1509.66,1509.66,89809800.0,0.0020510165475220443
2363,2010-10-29,1499.8,1505.66,1497.72,1505.66,1505.66,131615400.0,-0.0026496032219175403
2364,2010-10-28,1500.19,1501.57,1495.55,1499.44,1499.44,130233000.0,-0.004131078729593729
2365,2010-10-27,1496.2,1504.37,1496.2,1499.11,1499.11,131168200.0,-0.0002200821640080397
2366,2010-10-26,1493.9,1496.94,1491.81,1496.94,1496.94,150605200.0,-0.0014475255318154856
2367,2010-10-25,1493.53,1495.74,1491.25,1491.44,1491.44,105302400.0,-0.0036741619570590522
2368,2010-10-22,1494.59,1496.48,1489.52,1490.64,1490.64,131943400.0,-0.0005363943571313756
2369,2010-10-21,1490.24,1495.84,1488.44,1491.02,1491.02,164755800.0,0.00025492405946425656
2370,2010-10-20,1480.32,1490.03,1476.56,1486.78,1486.78,143046400.0,-0.0028436908961650964
2371,2010-10-19,1483.74,1488.77,1483.04,1488.65,1488.65,163137200.0,0.001257751651219552
2372,2010-10-18,1491.23,1494.96,1478.9,1480.7,1480.7,140666800.0,-0.0053404090954892736
2373,2010-10-15,1494.88,1494.88,1486.11,1489.86,1489.86,126610200.0,0.0061862632538662865
2374,2010-10-14,1500.84,1503.82,1490.57,1496.38,1496.38,157953200.0,0.0043762501174609
2375,2010-10-13,1489.56,1496.97,1489.27,1496.97,1496.97,171082400.0,0.00039428487416293123
2376,2010-10-12,1490.29,1493.29,1484.3,1486.57,1486.57,157910600.0,-0.00694736701470311
2377,2010-10-11,1486.14,1490.1,1484.57,1487.41,1487.41,140789500.0,0.0005650591630399493
2378,2010-10-08,1481.88,1484.48,1479.31,1481.41,1481.41,125741800.0,-0.004033857510706507
2379,2010-10-07,1481.59,1481.93,1476.25,1481.45,1481.45,127609300.0,2.700130281274582e-05
2380,2010-10-06,1478.32,1483.25,1476.05,1479.61,1479.61,128052000.0,-0.0012420263930609243
2381,2010-10-05,1468.02,1472.32,1466.93,1472.19,1472.19,122187200.0,-0.00501483499030142
2382,2010-10-04,1469.51,1474.9,1462.27,1462.27,1462.27,118754400.0,-0.006738260686460329
2383,2010-10-01,1468.45,1469.77,1464.35,1466.32,1466.32,123952000.0,0.002769666340689536
2384,2010-09-30,1465.84,1466.21,1461.2,1463.5,1463.5,136912000.0,-0.0019231818429810144
2385,2010-09-29,1464.32,1466.29,1459.12,1461.78,1461.78,128923600.0,-0.0011752647762214297
2386,2010-09-28,1463.41,1465.47,1457.8,1459.64,1459.64,105605300.0,-0.001463968586244091
2387,2010-09-27,1458.73,1467.18,1456.3,1464.71,1464.71,142929900.0,0.003473459209120122
2388,2010-09-24,1451.58,1453.99,1445.33,1451.19,1451.19,143455800.0,-0.009230496139167488
2389,2010-09-23,1475.7,1477.03,1456.64,1458.08,1458.08,116171800.0,0.004747827644898228
2390,2010-09-22,1477.84,1479.44,1474.73,1474.75,1474.75,182785900.0,0.01143284319104576
2391,2010-09-21,1471.15,1479.59,1471.03,1475.99,1475.99,136391700.0,0.0008408204780472328
2392,2010-09-20,1470.73,1472.31,1465.03,1469.69,1469.69,100486900.0,-0.004268321601094804
2393,2010-09-17,1473.84,1479.59,1466.97,1466.97,1466.97,166180600.0,-0.0018507304261442536
2394,2010-09-15,1472.71,1474.0,1469.86,1472.95,1472.95,125555100.0,0.0040764296475046535
2395,2010-09-14,1457.62,1474.44,1456.79,1474.44,1474.44,178227100.0,0.0010115754098918295
2396,2010-09-13,1439.26,1456.96,1439.26,1456.96,1456.96,165399400.0,-0.011855348471284
2397,2010-09-09,1433.6,1438.32,1433.6,1437.78,1437.78,69761200.0,-0.013164397100812741
2398,2010-09-08,1432.98,1434.14,1428.66,1434.14,1434.14,90835000.0,-0.0025316807856555767
2399,2010-09-07,1434.33,1436.65,1432.52,1434.27,1434.27,101449100.0,9.064665932179139e-05
